congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors,conditional
100,President,99907,99,0,USA,200,0.0,0.0,"REAGAN, Ronald Wilson",,1911.0,2004.0,0.692,-0.713,-78.78682,0.771,303.0,35.0,
100,House,10717,41,2,AL,200,0.0,1.0,"DICKINSON, William Louis",D000326,1925.0,2008.0,0.398,-0.057,-262.36918,0.691,710.0,111.0,
100,House,11000,41,4,AL,100,0.0,1.0,"BEVILL, Tom",B000431,1921.0,2005.0,-0.213,0.976,-133.71452,0.825,693.0,55.0,
100,House,11037,41,3,AL,100,0.0,1.0,"NICHOLS, William Flynt",N000095,1918.0,1988.0,-0.042,0.872,-148.66913,0.802,674.0,67.0,
100,House,14419,41,5,AL,100,0.0,1.0,"FLIPPO, Ronnie Gene",F000208,1937.0,,-0.175,0.834,-184.24231,0.768,699.0,76.0,
100,House,15022,41,6,AL,100,0.0,1.0,"ERDREICH, Ben",E000201,1938.0,,-0.06,0.372,-227.00482,0.744,767.0,105.0,
100,House,15090,41,1,AL,200,1.0,1.0,"CALLAHAN, Herbert Leon (Sonny)",C000052,1932.0,,0.373,0.202,-213.90442,0.752,752.0,107.0,
100,House,15416,41,7,AL,100,0.0,1.0,"HARRIS, Claude, Jr.",H000236,1940.0,1994.0,-0.085,0.593,-198.22038,0.768,750.0,97.0,
100,House,14066,81,1,AK,200,0.0,1.0,"YOUNG, Donald Edwin",Y000033,1933.0,,0.278,0.006,-414.69382,0.55205,698.0,224.0,1.0
100,House,10566,61,2,AZ,100,0.0,1.0,"UDALL, Morris King",U000001,1922.0,1998.0,-0.387,0.008,-107.85766,0.856,696.0,38.0,
100,House,14454,61,3,AZ,200,0.0,1.0,"STUMP, Robert Lee",S001044,1927.0,2003.0,0.703,0.203,-130.15956,0.842,757.0,45.0,
100,House,15105,61,5,AZ,200,1.0,1.0,"KOLBE, James Thomas",K000306,1942.0,,0.351,-0.534,-232.28221,0.736,757.0,99.0,
100,House,15429,61,4,AZ,200,0.0,1.0,"KYL, Jon Llewellyn",K000352,1942.0,,0.548,-0.455,-163.24153,0.804,750.0,69.0,
