congress,chamber,rollnumber,icpsr,cast_code
101,Senate,24,660,1
101,Senate,24,1252,1
101,Senate,24,1366,1
101,Senate,24,4812,1
101,Senate,24,9369,1
101,Senate,24,10513,1
101,Senate,24,10605,1
101,Senate,24,10700,1
101,Senate,24,10791,1
101,Senate,24,10808,1
101,Senate,24,10818,1
101,Senate,24,11029,1
101,Senate,24,11043,1
101,Senate,24,11044,1
101,Senate,24,11203,1
101,Senate,24,11204,1
101,Senate,24,12103,1
101,Senate,24,12107,1
101,Senate,24,12109,1
101,Senate,24,13039,1
101,Senate,24,13050,1
101,Senate,24,13056,1
101,Senate,24,14002,1
101,Senate,24,14009,1
101,Senate,24,14010,1
101,Senate,24,14031,1
101,Senate,24,14056,1
101,Senate,24,14073,1
101,Senate,24,14101,1
101,Senate,24,14103,1
101,Senate,24,14105,1
101,Senate,24,14107,1
101,Senate,24,14108,1
101,Senate,24,14203,1
101,Senate,24,14213,1
101,Senate,24,14226,1
101,Senate,24,14230,1
101,Senate,24,14240,1
101,Senate,24,14242,1
101,Senate,24,14268,1
101,Senate,24,14275,1
101,Senate,24,14282,1
101,Senate,24,14300,1
101,Senate,24,14302,1
101,Senate,24,14303,9
101,Senate,24,14304,1
101,Senate,24,14307,1
101,Senate,24,14423,1
101,Senate,24,14440,1
101,Senate,24,14467,1
101,Senate,24,14500,1
101,Senate,24,14501,1
101,Senate,24,14502,1
101,Senate,24,14503,1
101,Senate,24,14506,1
101,Senate,24,14508,1
101,Senate,24,14509,1
101,Senate,24,14511,1
101,Senate,24,14617,1
101,Senate,24,14628,1
101,Senate,24,14659,1
101,Senate,24,14700,1
101,Senate,24,14701,9
101,Senate,24,14702,1
101,Senate,24,14703,1
101,Senate,24,14704,1
101,Senate,24,14705,1
101,Senate,24,14706,1
101,Senate,24,14708,1
101,Senate,24,14709,1
101,Senate,24,14710,1
101,Senate,24,14712,1
101,Senate,24,14713,1
101,Senate,24,14806,1
101,Senate,24,14900,1
101,Senate,24,14902,1
101,Senate,24,14904,1
101,Senate,24,14907,1
101,Senate,24,14908,1
101,Senate,24,14909,1
101,Senate,24,14910,1
101,Senate,24,14912,1
101,Senate,24,14914,1
101,Senate,24,14915,1
101,Senate,24,14920,1
101,Senate,24,14921,1
101,Senate,24,14922,1
101,Senate,24,15037,1
101,Senate,24,15039,1
101,Senate,24,15054,1
101,Senate,24,15501,1
101,Senate,24,15502,1
101,Senate,24,15503,1
101,Senate,24,15504,9
101,Senate,24,15700,1
101,Senate,24,15701,1
101,Senate,24,15702,1
101,Senate,24,15703,1
101,Senate,24,15704,1
101,Senate,24,15705,1
101,Senate,24,99908,1
101,Senate,25,660,1
101,Senate,25,1252,1
101,Senate,25,1366,1
101,Senate,25,4812,1
101,Senate,25,9369,1
101,Senate,25,10513,1
101,Senate,25,10605,1
101,Senate,25,10700,1
101,Senate,25,10791,1
101,Senate,25,10808,1
101,Senate,25,10818,1
101,Senate,25,11029,1
101,Senate,25,11043,1
101,Senate,25,11044,1
101,Senate,25,11203,1
101,Senate,25,11204,1
101,Senate,25,12103,1
101,Senate,25,12107,1
101,Senate,25,12109,1
101,Senate,25,13039,1
101,Senate,25,13050,1
101,Senate,25,13056,1
101,Senate,25,14002,1
101,Senate,25,14009,1
101,Senate,25,14010,1
101,Senate,25,14031,1
101,Senate,25,14056,1
101,Senate,25,14073,1
101,Senate,25,14101,1
101,Senate,25,14103,1
101,Senate,25,14105,1
101,Senate,25,14107,1
101,Senate,25,14108,1
101,Senate,25,14203,1
101,Senate,25,14213,1
101,Senate,25,14226,1
101,Senate,25,14230,1
101,Senate,25,14240,1
101,Senate,25,14242,1
101,Senate,25,14268,1
101,Senate,25,14275,1
101,Senate,25,14282,1
101,Senate,25,14300,1
101,Senate,25,14302,1
101,Senate,25,14303,9
101,Senate,25,14304,1
101,Senate,25,14307,1
101,Senate,25,14423,1
101,Senate,25,14440,1
101,Senate,25,14467,1
101,Senate,25,14500,1
101,Senate,25,14501,1
101,Senate,25,14502,1
101,Senate,25,14503,1
101,Senate,25,14506,1
101,Senate,25,14508,1
101,Senate,25,14509,1
101,Senate,25,14511,1
101,Senate,25,14617,1
101,Senate,25,14628,1
101,Senate,25,14659,1
101,Senate,25,14700,1
101,Senate,25,14701,9
101,Senate,25,14702,1
101,Senate,25,14703,1
101,Senate,25,14704,1
101,Senate,25,14705,1
101,Senate,25,14706,1
101,Senate,25,14708,1
101,Senate,25,14709,1
101,Senate,25,14710,1
101,Senate,25,14712,1
101,Senate,25,14713,1
101,Senate,25,14806,1
101,Senate,25,14900,1
101,Senate,25,14902,1
101,Senate,25,14904,1
101,Senate,25,14907,1
101,Senate,25,14908,1
101,Senate,25,14909,1
101,Senate,25,14910,1
101,Senate,25,14912,1
101,Senate,25,14914,1
101,Senate,25,14915,1
101,Senate,25,14920,1
101,Senate,25,14921,1
101,Senate,25,14922,1
101,Senate,25,15037,1
101,Senate,25,15039,1
101,Senate,25,15054,1
101,Senate,25,15501,1
101,Senate,25,15502,1
101,Senate,25,15503,1
101,Senate,25,15504,9
101,Senate,25,15700,1
101,Senate,25,15701,1
101,Senate,25,15702,1
101,Senate,25,15703,1
101,Senate,25,15704,1
101,Senate,25,15705,1
101,Senate,25,99908,9
101,Senate,28,660,1
101,Senate,28,1252,1
101,Senate,28,1366,1
101,Senate,28,4812,1
101,Senate,28,9369,1
101,Senate,28,10513,1
101,Senate,28,10605,1
101,Senate,28,10700,1
101,Senate,28,10791,6
101,Senate,28,10808,1
101,Senate,28,10818,1
101,Senate,28,11029,1
101,Senate,28,11043,1
101,Senate,28,11044,1
101,Senate,28,11203,6
101,Senate,28,11204,6
101,Senate,28,12103,6
101,Senate,28,12107,1
101,Senate,28,12109,1
101,Senate,28,13039,1
101,Senate,28,13050,1
101,Senate,28,13056,1
101,Senate,28,14002,1
101,Senate,28,14009,1
101,Senate,28,14010,1
101,Senate,28,14031,1
101,Senate,28,14056,1
101,Senate,28,14073,1
101,Senate,28,14101,1
101,Senate,28,14103,1
101,Senate,28,14105,1
101,Senate,28,14107,6
101,Senate,28,14108,1
101,Senate,28,14203,1
101,Senate,28,14213,1
101,Senate,28,14226,1
101,Senate,28,14230,1
101,Senate,28,14240,1
101,Senate,28,14242,1
101,Senate,28,14268,1
101,Senate,28,14275,1
101,Senate,28,14282,1
101,Senate,28,14300,6
101,Senate,28,14302,1
101,Senate,28,14303,1
101,Senate,28,14304,6
101,Senate,28,14307,1
101,Senate,28,14423,9
101,Senate,28,14440,1
101,Senate,28,14467,1
101,Senate,28,14500,6
101,Senate,28,14501,1
101,Senate,28,14502,1
101,Senate,28,14503,1
101,Senate,28,14506,1
101,Senate,28,14508,1
101,Senate,28,14509,3
101,Senate,28,14511,1
101,Senate,28,14617,1
101,Senate,28,14628,1
101,Senate,28,14659,1
101,Senate,28,14700,1
101,Senate,28,14701,1
101,Senate,28,14702,1
101,Senate,28,14703,1
101,Senate,28,14704,1
101,Senate,28,14705,1
101,Senate,28,14706,1
101,Senate,28,14708,1
101,Senate,28,14709,1
101,Senate,28,14710,1
101,Senate,28,14712,1
101,Senate,28,14713,1
101,Senate,28,14806,1
101,Senate,28,14900,1
101,Senate,28,14902,1
101,Senate,28,14904,1
101,Senate,28,14907,1
101,Senate,28,14908,6
101,Senate,28,14909,6
101,Senate,28,14910,1
101,Senate,28,14912,6
101,Senate,28,14914,1
101,Senate,28,14915,1
101,Senate,28,14920,1
101,Senate,28,14921,1
101,Senate,28,14922,1
101,Senate,28,15037,6
101,Senate,28,15039,1
101,Senate,28,15054,6
101,Senate,28,15501,6
101,Senate,28,15502,1
101,Senate,28,15503,1
101,Senate,28,15504,1
101,Senate,28,15700,1
101,Senate,28,15701,1
101,Senate,28,15702,6
101,Senate,28,15703,1
101,Senate,28,15704,6
101,Senate,28,15705,1
101,Senate,28,99908,9
101,Senate,39,660,1
101,Senate,39,1252,1
101,Senate,39,1366,1
101,Senate,39,4812,1
101,Senate,39,9369,6
101,Senate,39,10513,6
101,Senate,39,10605,1
101,Senate,39,10700,1
101,Senate,39,10791,1
101,Senate,39,10808,1
101,Senate,39,10818,1
101,Senate,39,11029,6
101,Senate,39,11043,1
101,Senate,39,11044,6
101,Senate,39,11203,1
101,Senate,39,11204,6
101,Senate,39,12103,1
101,Senate,39,12107,1
101,Senate,39,12109,6
101,Senate,39,13039,1
101,Senate,39,13050,1
101,Senate,39,13056,1
101,Senate,39,14002,6
101,Senate,39,14009,6
101,Senate,39,14010,1
101,Senate,39,14031,6
101,Senate,39,14056,6
101,Senate,39,14073,1
101,Senate,39,14101,1
101,Senate,39,14103,6
101,Senate,39,14105,6
101,Senate,39,14107,1
101,Senate,39,14108,1
101,Senate,39,14203,1
101,Senate,39,14213,1
101,Senate,39,14226,6
101,Senate,39,14230,1
101,Senate,39,14240,1
101,Senate,39,14242,6
101,Senate,39,14268,1
101,Senate,39,14275,1
101,Senate,39,14282,1
101,Senate,39,14300,1
101,Senate,39,14302,1
101,Senate,39,14303,6
101,Senate,39,14304,1
101,Senate,39,14307,1
101,Senate,39,14423,3
101,Senate,39,14440,1
101,Senate,39,14467,1
101,Senate,39,14500,1
101,Senate,39,14501,6
101,Senate,39,14502,1
101,Senate,39,14503,6
101,Senate,39,14506,6
101,Senate,39,14508,1
101,Senate,39,14509,1
101,Senate,39,14511,6
101,Senate,39,14617,1
101,Senate,39,14628,6
101,Senate,39,14659,1
101,Senate,39,14700,6
101,Senate,39,14701,6
101,Senate,39,14702,1
101,Senate,39,14703,1
101,Senate,39,14704,1
